obsnme,obsval,weight,obgnme
out_ss_flx_20170531,0.0,1.0,out_ss
out_ss_flx_20170630,0.0,1.0,out_ss
out_ss_flx_20170731,0.0,1.0,out_ss
out_ss_flx_20170831,0.0,1.0,out_ss
out_ss_flx_20170930,0.0,1.0,out_ss
out_ss_flx_20171031,3.0272,1.0,out_ss
out_ss_flx_20171130,8.3631,1.0,out_ss
out_ss_flx_20171231,11.2434,1.0,out_ss
out_sy_flx_20151231,0.0,1.0,out_sy
out_sy_flx_20160131,1560.7307,1.0,out_sy
out_sy_flx_20160229,1417.2489,1.0,out_sy
out_sy_flx_20160331,789.885,1.0,out_sy
out_sy_flx_20160430,86.5727,1.0,out_sy
out_sy_flx_20160531,0.0,1.0,out_sy
out_sy_flx_20160630,0.0,1.0,out_sy
out_sy_flx_20160731,0.0,1.0,out_sy
out_sy_flx_20160831,0.0,1.0,out_sy
out_sy_flx_20160930,0.0,1.0,out_sy
out_sy_flx_20161031,101.5243,1.0,out_sy
out_sy_flx_20161130,914.9613,1.0,out_sy
out_sy_flx_20161231,1586.6529,1.0,out_sy
out_sy_flx_20170131,1784.6235,1.0,out_sy
out_sy_flx_20170228,1496.0227,1.0,out_sy
out_sy_flx_20170331,751.9242,1.0,out_sy
out_sy_flx_20170430,50.4086,1.0,out_sy
out_sy_flx_20170531,0.0,1.0,out_sy
out_sy_flx_20170630,0.0,1.0,out_sy
out_sy_flx_20170731,0.0,1.0,out_sy
out_sy_flx_20170831,0.0,1.0,out_sy
out_sy_flx_20170930,0.0,1.0,out_sy
out_sy_flx_20171031,463.9243,1.0,out_sy
out_sy_flx_20171130,1302.2684,1.0,out_sy
out_sy_flx_20171231,1754.3877,1.0,out_sy
out_wel_flx_20151231,1050.0,1.0,out_wel
out_wel_flx_20160131,376.329,1.0,out_wel
out_wel_flx_20160229,417.5474,1.0,out_wel
out_wel_flx_20160331,642.9115,1.0,out_wel
out_wel_flx_20160430,986.8039,1.0,out_wel
out_wel_flx_20160531,1349.0965,1.0,out_wel
out_wel_flx_20160630,1624.3041,1.0,out_wel
out_wel_flx_20160731,1624.3041,1.0,out_wel
out_wel_flx_20160831,1732.2964,1.0,out_wel
out_wel_flx_20160930,1641.6304,1.0,out_wel
out_wel_flx_20161031,1378.7048,1.0,out_wel
out_wel_flx_20161130,1020.0731,1.0,out_wel
out_wel_flx_20161231,670.1548,1.0,out_wel
out_wel_flx_20170131,430.8328,1.0,out_wel
out_wel_flx_20170228,371.7883,1.0,out_wel
out_wel_flx_20170331,510.2126,1.0,out_wel
out_wel_flx_20170430,805.8021,1.0,out_wel
out_wel_flx_20170531,1172.4926,1.0,out_wel
out_wel_flx_20170630,1503.5179,1.0,out_wel
out_wel_flx_20170731,1702.4964,1.0,out_wel
out_wel_flx_20170831,1711.4934,1.0,out_wel
out_wel_flx_20170930,1527.889,1.0,out_wel
out_wel_flx_20171031,1205.1421,1.0,out_wel
out_wel_flx_20171130,837.2237,1.0,out_wel
out_wel_flx_20171231,531.2575,1.0,out_wel
tailwater_20151231,-478.38,1.0,tailwater
tailwater_20160131,-628.99,1.0,tailwater
tailwater_20160229,-758.24,1.0,tailwater
tailwater_20160331,-818.81,1.0,tailwater
tailwater_20160430,-794.21,1.0,tailwater
tailwater_20160531,-681.19,1.0,tailwater
tailwater_20160630,-520.27,1.0,tailwater
